"filename", "language", "YAML", "Java", "Lua", "XML", "Markdown", "Java Properties", "Batch", "JSON with Comments", "SQL", "HTML", "JavaScript", "Less", "JSON", "comment", "blank", "total"
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/errorcode/IErrorCode.java", "Java", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 5, 37
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/exception/AbstractException.java", "Java", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 8, 47
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/exception/ClientException.java", "Java", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 9, 54
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/exception/RemoteException.java", "Java", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 8, 50
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/exception/ServiceException.java", "Java", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 10, 56
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/page/PageRequest.java", "Java", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 6, 43
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/page/PageResponse.java", "Java", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 14, 89
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/result/Result.java", "Java", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 12, 67
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/database/pom.xml", "XML", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/algorithm/sharding/CustomDbHashModShardingAlgorithm.java", "Java", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 13, 76
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/base/BaseDO.java", "Java", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 8, 52
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/config/MybatisPlusAutoConfiguration.java", "Java", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 7, 63
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/handler/CustomIdGenerator.java", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 5, 35
"/Users/yufei/Documents/ETH 2024spring/12306/frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/handler/MyMetaObjectHandler.java", "Java", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 7, 55
